ID,Date,Day of week,Time of day,Reel/Slideshow/Pic,Likes,Comments,Shares,Saves/Bookmarks,Accounts Reached,Accounts Engaged/Reel Interactions,Profile Activity,Non Followers %,Impressions/Plays ,Reel Replays,from Home,from Profile,from Explore Pg,Hashtags,Mentions,Video Duration (s),Profile Vists,New Followers,Beauty/Aesthetic,Students,Commencement,WashU28,Dorm,Study/Academics/Rsh,Holiday/Special Day,Chancellor,Sports
1,6/21,Friday,11:24,Slide,1304,21,69,9,14579,1349,164,0.237,20287,,13073,493,10,#FlashbackFriday #WashU,@washu.alas,,164,0,,x,,,,,,,
2,6/20,Thursday,8:57,Slide,2425,2,67,15,18196,2418,313,0.306,23734,,15567,951,141,#WashU #WUSTL,,,307,5,x,,,,,,,,
3,6/13,Thursday,,Reel,1349,4,130,59,16742,1540,2,0.195,36567,14569,,,,#WashU #WashU24 #Commencement #graduation #speech #wordsofwisdom,@jennifercoolidge,74,,2,,,x,,,,,,
4,6/6,Thursday,8:52,Slide,4578,23,374,64,35324,4714,521,0.379,45444,,28158,2432,21,#WashU,@archdigest,,505,13,x,,,,,,,,
5,5/31,Friday,9:32,Picture,1904,8,38,7,20546,1980,167,0.192,24086,,18005,3041,51,#WashU #WashUBears,@washu_xtcf,,165,0,,x,,,,,,,x
6,5/30,Thursday,,Reel,2352,15,331,52,25282,2750,6,0.151,59793,23194,,,,#WashU #stl #stlouis #cicadas #cicadaseason,,24,,6,x,,,,,,,,
7,5/27,Monday,8:11,Picture,1423,2,23,5,17745,1470,197,0.237,20606,,14549,2461,111,#WashU,,,196,0,,,,,,,x,,
8,5/22,Wednesday,15:07,Slide,3464,9,258,16,23884,3660,222,0.136,29648,,25953,3176,173,#ForTheLou,@cardinals,,219,3,,,,,,,,,x
9,5/21,Tuesday,12:03,Slide,2340,16,49,8,18380,2357,245,0.139,23134,,19438,3168,170,#WashU,,,242,0,x,,,,,,,,
10,5/20,Monday,16:33,Slide,1691,24,102,8,14833,1784,248,0.178,18381,,14343,3162,9,#WashU24 #WashU,,,247,1,,,x,,,,,,
11,5/20,Monday,9:45,Slide,2248,10,111,14,19894,2222,176,0.14,24605,,20730,3077,485,#WashU,@wupddogs,,174,2,,,x,,,,,,
12,5/17,Friday,,Reel,1341,31,50,17,23276,1436,3,0.367,49523,16014,,,,#WashU #WashU24,,20,,3,,,x,,,,,,
13,5/16,Thursday,,Reel,3950,47,569,195,81258,4747,47,0.744,127965,30887,,,,#WashU #commencement #graduation #jennifercoolidge #classof2024 #WashU24,@jennifercoolidge,58,,47,,,x,,,,,,
14,5/16,Thursday,9:11,Picture,1282,9,14,22,22050,1330,309,0.165,24529,,19835,2927,1583,#WashU #WashU24,@WUSTLArtSci,,306,1,,x,x,,,,,,
15,5/15,Wednesday,7:15,Slide,2593,77,161,32,29188,2591,482,0.205,36393,,29151,4339,2195,#WashU,@WustlArtSci,,475,4,,x,x,,,,,,
16,5/14,Tuesday,,Reel,125000,400,19500,4320,1592866,147849,776,0.981,2054188,658856,,,,#jennifercoolidge #WashU #WashU24 #commencement #graduation #classof2024 #legallyblonde,@jennifercoolidge,11,,776,,,x,,,,,,
17,5/14,Tuesday,1:55,Slide,32300,82,5418,717,232802,35253,4164,0.839,240815,,166955,6116,50589,#WashU24 #WashU,@jennifercoolidge,,3974,168,,,x,,,,,,
18,5/14,Tuesday,8:38,Slide,2477,35,172,18,21432,2507,506,0.301,26538,,17761,6604,641,#WashU24 #WashU,@washualumni,,496,3,,,x,,,,,,
19,5/13,Monday,,Reel,1804,32,89,20,24794,1942,4,0.36,47211,16320,,,,#WashU24 #WashU #classof2024 #grad #graduate,,,,4,,,x,,,,,,
20,5/13,Monday,15:02,Slide,2831,9,101,29,22068,2823,670,0.122,26697,,22704,2513,530,#WashU24 #WashU,,,607,3,,,x,,,,,,
21,5/13,Monday,,Reel,3518,28,178,152,89371,3819,54,0.776,137542,37489,,,,#Commencement #graduation #classof2024 #WashU #WashU24,,46,,54,,,x,,,,,,
22,5/13,Monday,6:33,Picture,1599,4,26,7,16131,1578,567,0.134,17555,,14423,2213,552,#WashU24 #WashU,,,434,5,,,x,,,,,,
23,5/12,Sunday,19:29,Picture,866,0,6,5,12851,858,161,0.123,14506,,11854,2387,106,#WashU,,,159,1,,,x,,,,,,
24,5/11,Saturday,,Reel,3730,26,276,198,163422,4222,80,0.857,260435,69081,,,,#classof2024 #WashU #graduation #commencement #graduates #WashU24,,12,,80,,,x,,,,,,
25,5/10,Friday,17:25,Slide,2968,13,61,35,23639,2950,368,0.084,30316,,26960,2479,444,#WashU,,,364,1,,,x,,,,,,
26,5/10,Friday,11:18,Slide,2162,23,168,22,25313,2267,118,0.296,31758,,27254,3076,438,#WashU24 #WashU,@bpvstl,,116,2,,,x,,,,,x,
27,5/10,Friday,7:52,Picture,1140,3,16,7,14923,1152,294,0.129,17248,,14036,2426,429,#WashU24 #WashU,,,292,2,,,x,,,,,,
28,5/9,Thursday,18:59,Slide,2317,8,94,34,30042,2421,460,0.109,38167,,33669,2081,1285,#WashU24 #classof2024 #longdistance #graduation #WashU #friendship,,,456,4,,,x,,,,,,
29,5/9,Thursday,,Reel,805,4,22,18,19659,849,1,0.222,43234,16730,,,,#WashU24 #Classof2024 #graduation #Commencement #WashU,,10,,1,,,x,,,,,,
30,5/1,Wednesday,,Reel,1357,76,70,52,51076,1553,5,0.685,86521,22064,,,,#WashU #WashU28 #classof2028 #decisionday #nationaldecisionday #minature #miniatures,,40,,5,,,,x,,,,,
31,4/24,Wednesday,,Reel,2099,155,400,120,42255,2768,12,0.262,86974,33260,,,,#WashU #WUSTL #dorms #dormtour #collegelife,,211,,12,,,,,x,,,,
32,4/24,Wednesday,8:59,Slide,871,30,9,4,17920,932,187,0.307,23057,,15049,7690,318,#InSTLforSTL,@forestparkforever @stlouiscountylibrary,,186,0,,x,,,,,,,
33,4/19,Friday,,Reel,1688,42,344,67,31490,2135,8,0.238,63794,22695,,,,#WashU #WUSTL #dorms #dormroom #collegelife,,190,,8,,,,,x,,,,
34,4/17,Wednesday,10:01,Slide,2021,17,109,14,20663,2113,259,0.171,27281,,21585,4933,117,#WashU #WUSTL,,,255,3,,x,,,,,,,x
35,4/16,Tuesday,,Reel,1864,19,161,74,35141,2117,13,0.383,75724,35464,,,,#WashU #WUSTL #studyspot #campus #collegelife,,9,,13,,,,,,x,,,
36,4/12,Friday,14:19,Slide,1972,56,112,34,24306,2104,130,0.184,31895,,25281,4258,1056,#WashU #WUSTL,Isaac Seiler,,128,2,,x,,,,x,,,
37,4/11,Thursday,,Reel,2205,20,165,86,59721,2462,24,0.608,99762,34713,,,,#WashU #WUSTL #professor #earlyclass #college #collegelife,Rob Morgan,11,,25,,,,,,x,,,
38,4/11,Thursday,9:11,Slide,1486,8,27,11,14628,1539,120,0.135,18828,,15554,2982,48,#WashU #WUSTL,,,120,,,,,,,,,,
39,4/10,Wednesday,9:19,Slide,2288,63,314,71,28485,2411,214,0.403,35689,,30340,4285,331,#WashU #WUSTL,@forestparkforever @worldbirdsanctuary,,207,7,,,,,,,,,
40,4/9,Tuesday,12:38,Slide,2580,10,42,19,20725,2634,213,0.155,26509,,21424,3856,837,#WashU #WUSTL,,,211,2,,,,,,,,,
41,4/2,Tuesday,,Reel,1852,34,320,90,39413,2295,23,0.467,65613,21994,,,,#WashU #WUSTL #singing #listeningto #college #collegelife,,59,,23,,x,,,,,,,
42,4/1,Monday,8:46,Slide,3187,14,103,37,27245,3284,848,0.314,33573,,22727,5331,4330,#WashU #WUSTL,,,825,19,x,,,,,,,,
43,3/29,Friday,10:40,Slide,2733,4,101,16,22299,2726,407,0.254,29516,,21066,7116,647,#WashU #WUSTL,,,393,11,x,,,,,,,,
44,3/28,Thursday,9:25,Slide,4184,38,208,38,35876,4443,721,0.204,47173,,36041,6570,3338,#WashU #WUSTL #WashU24,,,711,5,,x,x,,,,,x,
45,3/27,Wednesday,,Reel,5256,95,5055,178,75626,10577,56,0.596,169014,65878,,,,#WashU #WUSTL #JenniferCoolidge #Classof2024 #WhiteLotus #LegallyBlonde #WashU24,@jennifercoolidge,69,,56,,,x,,,,,,
46,3/20,Wednesday,,Reel,3471,13,281,76,83921,3824,54,0.657,163111,69265,,,,#WashU28 #WashU #WUSTL,,9,,54,,,,x,,,,,
47,3/20,Wednesday,14:08,Picture,2853,64,248,34,34123,2954,578,0.295,40941,,26106,8853,1930,#WashU28 #WashU #WUSTL,,,549,24,,,,x,,,x,,
48,3/19,Tuesday,8:09,Slide,3651,13,117,51,25735,3827,981,0.252,33723,,22727,8624,1261,#WashU #WUSTL,,,967,9,x,,,,,,,,
49,3/18,Monday,18:00,Slide,3036,0,113,30,23386,3126,447,0.232,29275,,20874,7138,829,#WashU #WUSTL,,,438,9,x,,,,,,,,
50,3/18,Monday,,Reel,5379,54,564,171,53202,5270,7,0.379,98312,38022,,,,#WashU #WUSTL #MatchDay2024 #MatchDay #MedSchool,@washumedicine,201,,7,,x,,,,x,x,,
51,3/14,Thursday,16:13,Slide,2543,2,47,22,24161,2514,242,0.153,30419,,24509,4969,721,#WashU #WUSTL #314Day,@gostlouis,,235,4,,,,,,,x,,
52,3/14,Thursday,7:40,Slide,3064,2,95,38,23275,3028,289,0.144,29019,,23512,4737,147,#WashU #WUSTL #314Day #InSTLforSTL,,,284,4,,,,,,,x,,
53,3/13,Wednesday,,Reel,1382,3,56,43,22549,1481,6,0.258,42311,16153,,,,#WashU #WUSTL #classof2028 #classof28 #collegeadvice #WashU28,,59,,6,,x,,x,,,,,
54,3/12,Monday,7:16,Slide,2807,9,64,19,16890,16890,231,0.114,21939,,18551,2971,51,#WashU #WUSTL,,,228,3,x,,,,,,,,
55,3/11,Sunday,,Reel,1471,27,139,43,29821,1678,4,0.218,59377,24282,,,,#fyp #linger #thecranberries #acappella #singing #pitchperfect #college #WashU,@wuevergreens,50,,4,,x,,,,,,,
56,3/1,Friday,7:30,Slide,3109,17,66,21,22077,3054,269,0.147,28092,,23023,4558,151,#WashU #WUSTL,,,263,3,x,,,,,,,,
57,2/29,Thursday,,Reel,2299,12,201,93,43718,2605,10,0.586,70490,22150,,,,#WashU #WUSTL #college #studying #roommate #collegelife #barbie,,17,,10,,x,,,,x,,,
58,2/27,Tuesday,11:05,Slide,3275,19,108,34,24735,3466,329,0.116,30890,,26392,3986,148,#WashU #WUSTL,,,328,1,x,,,,,,,,
59,2/22,Thursday,,Reel,744789,185,29438,24972,4974284,799384,1813,0.995,12809988,7503265,,,,#WashU #WUSTL #collegelife #collegetour #collegestudent,,6,,1813,,x,,,,x,,,
60,2/21,Wednesday,,Reel,2084,7,140,33,30922,2264,2,0.263,55362,19938,,,,#WashU #WUSTL,@washumedicine,31,,2,x,,,,,x,,,
61,2/20,Tuesday,16:18,Slide,2202,27,92,15,18290,2161,300,0.193,23598,,17650,5136,10,#WashU #WUSTL,@wu.lynf,,298,2,,x,,,,,,,
62,2/19,Monday,11:24,Slide,4033,9,182,47,27853,4061,488,0.136,34152,,28144,4538,343,#WashU #WUSTL,,,479,7,x,,,,,,,,
63,2/16,Friday,,Reel,3181,12,181,110,31684,3478,11,0.244,62458,24133,,,,,,42,,11,x,,,,x,,,,
64,2/15,Thursday,,Reel,838,24,77,19,21939,958,0,0.324,39687,13999,,,,#WashU #WUSTL #college #artstudent #artstudio #artist #MFA #artschool,@washuvisualart @washusamfoxschool @sarahmoon,189,,0,,x,,,,x,,,
65,2/14,Wednesday,,Reel,4320,36,893,191,149225,5443,269,0.811,263211,99590,,,,#WashU #WUSTL #ValentinesDay #kpop,,10,,269,,,,,,,x,,
66,2/14,Wednesday,7:17,Picture,1096,3,51,6,13294,1124,96,0.131,15133,,11995,2763,73,#WashU #WUSTL,,,95,1,,,,,,,x,,
67,2/12,Monday,14:51,Slide,2317,10,84,24,17383,2332,292,0.124,21692,,17901,2956,27,#WashU #WUSTL,@bawustl,,290,1,,x,,,,,,,
68,2/9,Friday,,Reel,1280,13,84,58,25011,1435,7,0.19,49092,18963,,,,#washu #clubs #studentorgs #collegelife,,98,,7,,x,,,,x,,,
69,2/8,Thursday,14:09,Picture,2560,50,156,31,26579,2730,317,0.23,32979,,23182,6408,601,#WashU #WUSTL #WashU28,,,296,21,,,,x,,,,,
70,2/7,Wednesday,,Reel,3179,14,242,242,77990,3676,26,0.661,144493,58279,,,,#meangirls #meangirlsmovie #reginageorge #college #WashU #WUSTL,,16,,26,,,,,,,,,
71,2/6,Tuesday,14:53,Slide,2849,12,64,25,22710,2831,339,0.104,29523,,25380,3681,28,#WashU #WUSTL,,,326,10,x,,,,,,,,
72,2/4,Sunday,11:45,Slide,2805,8,62,13,20450,2776,279,0.136,25646,,20909,3957,286,#WashU #WUSTL,,,271,8,x,,,,,,,,
73,2/1,Thursday,16:30,Slide,1534,5,43,6,16882,1507,189,0.139,21970,,17450,4193,21,#WashU #WUSTL,,,185,4,x,,,,,x,,,
74,1/31,Wednesday,12:12,Slide,1749,101,80,10,19129,1811,340,0.136,24356,,19479,3956,120,#FacesogWashU #WashU #WUSTL #WashU25,@michaelzazlavsky,,336,3,,x,,,,,,,
75,1/30,Tuesday,12:41,Slide,3258,22,155,46,28093,3309,433,0.108,35459,,30390,4010,389,#WashU #WUSTL,,,427,4,x,,,,,x,,,
76,1/29,Monday,11:04,Slide,1843,46,71,15,21885,1948,349,0.132,27504,,22186,3987,164,#FacesofWashU #WashU #WUSTL #WashU25,@annikarodriguezofficial @estephaniesalazar-estrada,,345,1,,x,,,,x,,,
77,1/26,Friday,,Reel,2979,21,599,133,38426,3688,21,0.289,72897,26190,,,,#WashU #WUSTL #harrypotter #hogwarts,,26,,21,x,,,,,,,,
78,1/25,Thursday,9:16,Slide,1842,33,76,17,19672,1855,237,0.1,26504,,22615,2987,103,#FacesofWashU #WashU #WUSTL #WashU25,@annikarodriguezofficial @elijahdarden,,237,,,x,,,,x,,,
79,1/23,Tuesday,16:22,Picture,2006,7,41,10,20047,2041,239,0.112,22584,,18478,3712,152,#WashU #WUSTL,,,232,2,x,,,,,,,,
80,1/19,Friday,7:18,Slide,2945,56,87,44,28854,3010,493,0.104,37901,,32258,4420,208,#FacesofWashU #WashU #WUSTL #WashU25,@annikarodriguezofficial @nicolelucas,,489,0,,x,,,,x,,,
81,1/16,Tuesday,9:21,Picture,1958,10,56,10,20617,2033,309,0.19,24177,,17739,4986,1107,#WashU #WUSTL,,,305,2,x,,,,,,,,
82,1/14,Sunday,,Reel,1740,11,67,59,24282,1877,6,0.311,47556,17394,,,,#WashU #WUSTL #aestheticreels #campusbeauty #college,,12,,6,x,,,,,,,,